Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
101210337,147,100.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,104
101212628,149,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,105
101214820,152,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,106
101217034,154,0.00,50.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,107
101219223,156,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,109
101221505,158,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,110
101223684,160,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,111
101225898,163,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,112
101228073,165,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,113
101230271,167,100.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,115
101232454,169,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,116
101234668,171,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,117
101236837,174,0.00,50.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,118
101239030,176,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,119
101241247,178,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,120
101243422,180,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,121
101245634,182,50.00,50.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,122
101247828,185,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,123
101250047,187,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,124
101252219,189,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,125
101254417,191,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,126
101256604,193,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,127
101258792,196,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,128
101260984,198,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,129
101263189,200,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,131
101265394,202,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,132
101267594,204,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,133
101269794,207,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,134
101272070,209,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,135
101274285,211,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,136
101276481,213,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,137
101278670,215,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,138
101280836,218,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,139
101283033,220,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,141
101285295,222,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,142
101287484,224,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,143
101289693,226,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,144
101291879,229,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,145
101294140,231,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,146
101296318,233,50.00,50.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,148
101298515,235,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,149
101300705,237,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,150
101302897,240,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,151
101305045,242,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,152
101307236,244,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,153
101309445,246,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,154
101311646,248,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,155
101313876,251,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,156
101316079,253,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,157
101318318,255,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,158
101320545,257,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,159
101322714,259,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,160
101324880,262,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,161
101327042,264,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,163
101329248,266,0.00,100.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,164
101331435,268,100.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,165
101333656,270,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,166
101335847,273,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,167
101338041,275,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,168
101340227,277,100.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,169
101342433,279,0.00,100.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,170
101344606,281,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,172
101346798,284,50.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,173
101348990,286,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,174
101351181,288,50.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,175
101353389,290,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,176
101355554,292,0.00,100.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,177
101357780,295,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,178
101359967,297,50.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,180
101362237,299,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,181
101364406,301,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,182
101366587,303,100.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,184
101368861,306,0.00,100.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,185
101371059,308,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,186
101373369,310,50.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,187
101375544,312,0.00,100.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,188
101377754,314,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,189
101379942,317,50.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,190
101382142,319,0.00,0.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,191
101384314,321,50.00,50.00,4472,82088,899736,33200,814816,860408,1044,50676,3.69,95.63,192
